basin,region,site_name,sample,depth,unique,type,total_dd_count,sed_weight_kg,num_yrs_est_bulks,num_yrs_est_bulks_upper,num_yrs_est_bulks_lower,age_est_bulks
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-1,modern_bulk,9,7.184,54,62,46,1979
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-2,modern_bulk,39,7.883,54,62,46,1979
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-3,modern_bulk,18,7.525,54,62,46,1979
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-5,modern_bulk,8,4.215,54,62,46,1979
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-7,modern_bulk,35,5.844,54,62,46,1979
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-8,modern_bulk,20,6.462,54,62,46,1979
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-1,modern_bulk,28,6.899,65,79,60,1942
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-2,modern_bulk,30,4.607,65,79,60,1942
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-4,modern_bulk,17,3.897,65,79,60,1942
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-5,modern_bulk,73,7.274,65,79,60,1942
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-1,modern_bulk,28,4.715,356,358,354,1651
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-2,modern_bulk,13,1.921,356,358,354,1651
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-3,modern_bulk,12,2.695,356,358,354,1651
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-4,modern_bulk,18,3.331,356,358,354,1651
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-5,modern_bulk,15,2.317,356,358,354,1651
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-6,modern_bulk,26,2.946,356,358,354,1651
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-1,modern_bulk,32,3.323,798.3,804.5,792.1,1216
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-2,modern_bulk,32,3.675,798.3,804.5,792.1,1216
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-3,modern_bulk,27,5.11,798.3,804.5,792.1,1216
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-4,modern_bulk,32,4.367,798.3,804.5,792.1,1216
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-5,modern_bulk,15,1.654,798.3,804.5,792.1,1216
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-6,modern_bulk,44,4.615,798.3,804.5,792.1,1216
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,.,AT14-5-1,Holocene_bulk,9,2.78,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,.,AT14-5-2,Holocene_bulk,11,2.551,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,.,AT14-5-3,Holocene_bulk,23,3.628,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,.,AT14-6-1,Holocene_bulk,4,3.484,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,.,AT14-6-2,Holocene_bulk,3,3.641,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,.,AT14-6-3,Holocene_bulk,3,3.819,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-7,.,AT14-7-1,Holocene_bulk,16,3.86,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-7,.,AT14-7-2,Holocene_bulk,6,2.778,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-7,.,AT14-7-3,Holocene_bulk,12,3.956,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-9,.,AT14-9-1,Holocene_bulk,16,2.649,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-9,.,AT14-9-2,Holocene_bulk,13,2.994,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-9,.,AT14-9-3,Holocene_bulk,17,3.388,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-10,.,AT14-10-1,Holocene_bulk,16,3.749,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-10,.,AT14-10-2,Holocene_bulk,22,4.018,20,32,11,-4825
Caribbean,Bocas del Toro,Sweet Bocas,AT14-10,.,AT14-10-3,Holocene_bulk,12,3.485,20,32,11,-4825
Pacific,Gulf of Panama,Contadora,BF18-1-11,10,BF18-1-11-10,core,7,0.10478,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,15,BF18-1-11-15,core,19,0.21413,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,25,BF18-1-11-25,core,17,0.17578,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,30,BF18-1-11-30,core,16,0.15403,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,181,BF18-1-11-181,core,34,0.22845,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,191,BF18-1-11-191,core,25,0.15087,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,196,BF18-1-11-196,core,12,0.19003,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,206,BF18-1-11-206,core,22,0.18286,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,211,BF18-1-11-211,core,29,0.18067,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,core,28,0.16332,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,226,BF18-1-11-226,core,29,0.15015,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,236,BF18-1-11-236,core,22,0.14886,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,241,BF18-1-11-241,core,32,0.18425,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,251,BF18-1-11-251,core,43,0.16156,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,256,BF18-1-11-256,core,32,0.17494,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,266,BF18-1-11-266,core,28,0.21028,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,271,BF18-1-11-271,core,28,0.15337,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,281,BF18-1-11-281,core,27,0.20245,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,286,BF18-1-11-286,core,46,0.24437,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,296,BF18-1-11-296,core,24,0.17148,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,301,BF18-1-11-301,core,16,0.15775,.,.,.,.
Pacific,Gulf of Panama,Contadora,BF18-1-11,311,BF18-1-11-311,core,22,0.18435,.,.,.,.
