"","basin","region","site_name","sample","depth","unique","type","total_dd_count","sed_weight_kg","num_yrs_est_bulks","num_yrs_est_bulks_upper","num_yrs_est_bulks_lower","age_est_bulks","date_locality","date_unique","midpoint","interval_no","min","median","predicted_age_BP","max","predicted_age_AD_BC","perc_2.5","perc_25","median_num_years_per_sample","perc_75","perc_97.5","age_AD_BC","age_BP","depth_upper","thickness","thick.not.5","no_years","no_years_25","no_years_75","dd_kg","dd_kg_yr","dd_kg_yr_25","dd_kg_yr_75","age_group","sampling_year","log_sed_weight_kg","log_no_years","site_age","sample_age"
"1","Caribbean","Bocas del Toro","Casa Blanca","AT14-1",NA,"AT14-1-1","modern_bulk",9,7.184,54,62,46,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,46,62,1.25278396436526,0.023199703043801,0.0272344340079403,0.0202061929736332,"modern",2014,1.9718563309999,3.98898404656427,"Casa Blanca modern","AT14-1 modern"
"2","Caribbean","Bocas del Toro","Casa Blanca","AT14-1",NA,"AT14-1-2","modern_bulk",39,7.883,54,62,46,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,46,62,4.94735506786756,0.0916176864419919,0.107551197127556,0.0797960494817349,"modern",2014,2.06470854207777,3.98898404656427,"Casa Blanca modern","AT14-1 modern"
"3","Caribbean","Bocas del Toro","Casa Blanca","AT14-1",NA,"AT14-1-3","modern_bulk",18,7.525,54,62,46,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,46,62,2.39202657807309,0.044296788482835,0.0520005777841976,0.0385810738398885,"modern",2014,2.01823081063494,3.98898404656427,"Casa Blanca modern","AT14-1 modern"
"4","Caribbean","Bocas del Toro","Casa Blanca","AT14-1",NA,"AT14-1-5","modern_bulk",8,4.215,54,62,46,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,46,62,1.89798339264531,0.0351478406045429,0.0412605085357677,0.030612635365247,"modern",2014,1.43864959145382,3.98898404656427,"Casa Blanca modern","AT14-1 modern"
"5","Caribbean","Bocas del Toro","Casa Blanca","AT14-1",NA,"AT14-1-7","modern_bulk",35,5.844,54,62,46,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,46,62,5.98904859685147,0.110908307349101,0.130196708627206,0.0965975580137334,"modern",2014,1.76541549388845,3.98898404656427,"Casa Blanca modern","AT14-1 modern"
"6","Caribbean","Bocas del Toro","Casa Blanca","AT14-1",NA,"AT14-1-8","modern_bulk",20,6.462,54,62,46,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,46,62,3.09501702259362,0.0573151300480301,0.0672829787520353,0.0499196293966714,"modern",2014,1.86593886740231,3.98898404656427,"Casa Blanca modern","AT14-1 modern"
"7","Caribbean","Bocas del Toro","Punta Donato","AT14-2",NA,"AT14-2-1","modern_bulk",28,6.899,65,79,60,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,60,79,4.05855921147992,0.0624393724843065,0.0676426535246654,0.0513741672339231,"modern",2014,1.93137647356397,4.17438726989564,"Punta Donato modern","AT14-2 modern"
"8","Caribbean","Bocas del Toro","Punta Donato","AT14-2",NA,"AT14-2-2","modern_bulk",30,4.607,65,79,60,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,60,79,6.51182982418059,0.100181997295086,0.108530497069677,0.0824282256225392,"modern",2014,1.52757688595378,4.17438726989564,"Punta Donato modern","AT14-2 modern"
"9","Caribbean","Bocas del Toro","Punta Donato","AT14-2",NA,"AT14-2-4","modern_bulk",17,3.897,65,79,60,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,60,79,4.36232999743392,0.0671127691912911,0.0727054999572321,0.0552193670561256,"modern",2014,1.36020702635657,4.17438726989564,"Punta Donato modern","AT14-2 modern"
"10","Caribbean","Bocas del Toro","Punta Donato","AT14-2",NA,"AT14-2-5","modern_bulk",73,7.274,65,79,60,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,60,79,10.0357437448447,0.154396057612995,0.167262395747411,0.127034730947401,"modern",2014,1.9843063465648,4.17438726989564,"Punta Donato modern","AT14-2 modern"
